Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education
92,"Newspapers, TV network",5,1,"New York, New York",United States,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University"
70,Banking,,,"Crans-Montana, Switzerland",Brazil,Widowed,4,
72,"Aldi, Trader Joe's",,,"Mulheim an der Ruhr, Germany",Germany,,1,
56,"Finance, telecommunications",,,"Prague, Czech Republic",Czech Republic,Widowed,4,
72,"medical devices, Self Made",,,"Shenzhen, China",Singapore,,,"Bachelor of Science, University of Science and Technology of China"
75,H&M,,,"Stockholm, Sweden",Sweden,Married,3,"Associate in Arts/Science, University of Stockholm"
68,"Google, Self Made",6,2,"Atherton, California",United States,Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley"
55,"Hedge funds, Self Made",,,"Geneva, Switzerland",United Kingdom,,,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics"
67,"Soy sauce, Self Made",,,"Foshan, China",China,,,
,Supermarkets,,,Germany,Germany,,,
,Supermarkets,,,,Germany,,,
84,"Beer, Self Made",,,"Zurich, Switzerland",Brazil,Married,5,"Bachelor of Arts/Science, Harvard University"
76,Real estate,,,"Hong Kong, Hong Kong",Hong Kong,Married,3,"Master of Business Administration, Columbia Business School"
67,"Pharmaceuticals, Self Made",,,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University"
45,"Wireless networking, Self Made",8,1,"San Jose, California",United States,Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego"
68,"Retail, investments, Self Made",,,"Mumbai, India",India,Married,3,
56,"Batteries, Self Made",,,"Ningde, China",China,,,"Bachelor of Technology, Hefei University of Technology"
84,Diversified,,,"Bangkok, Thailand",Thailand,Widowed,5,
81,"Retail, Self Made",10,2,"Oklahoma City, Oklahoma",United States,Married,3,"Diploma, High School"
79,"Alcohol, real estate, Self Made",,,"Bangkok, Thailand",Thailand,Widowed,5,
