Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education
80,"Hedge funds, Self Made",9,3,"Boca Raton, Florida",United States,Married,2,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Hunter College"
76,Cement,,,"Delhi, India",India,Married,2,"Bachelor of Commerce, Delhi University; Chartered Accountant, Institute of Chartered Accountants of India"
72,Beef processing,,,"Omaha, Nebraska",United States,Divorced,,"Bachelor of Arts/Science, University of Denver"
55,"Aluminum, utilities, Self Made",,,"Moscow, Russia",Russia,Divorced,2,"Master of Science, Moscow State University; Master of Economics, Plekhanov Russian University of Economics"
57,"Software, Self Made",,,"Paralimni, Cyprus",Cyprus,,,"Master of Science, Saint Petersburg State University"
68,"Hedge funds, Self Made",7,,"New York, New York",United States,Married,,"Master of Business Administration, New York University; Bachelor of Arts/Science, University of California, San Diego"
62,"Plastic pipes, Self Made",,,"Ahmedabad, India",India,Married,2,
74,"Fertilizer, Self Made",,,"Curitiba, Brazil",Brazil,Divorced,3,
73,"Information technology, Self Made",,,"Westmount, Canada",Canada,Married,2,"Master of Business Administration, Laval University"
70,"Private equity, Self Made",9,1,"Beverly Hills, California",United States,Married,6,"Bachelor of Arts/Science, Western Michigan University"
65,Gas stations,3,1,"Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Emory University"
75,"Investments, Self Made",8,2,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University"
53,"Music, Self Made",,,"New York, New York",United States,Married,3,
74,Engineering,,,"Pune, India",India,Married,1,"Master of Science, Massachusetts Institute of Technology"
62,Energy,,,"Istanbul, Turkey",Turkey,Married,1,
66,"Tobacco, Self Made",9,,"Franklin, Tennessee",United States,Married,3,"Diploma, High School; Drop Out, Western Kentucky University"
70,"Engineering, Self Made",,,"Graz, Austria",Austria,Married,2,
70,"Paper & related products, Self Made",,,"Yanzhou, China",China,Married,3,
76,"Real estate, Self Made",,,"Taipei, Taiwan",Taiwan,Married,2,
36,"Jewelry, Self Made",,,"Shenzhen, China",China,,,
77,"Coffee, shipping",,,"Bangkok, Thailand",Thailand,Married,3,
76,"Medical devices, Self Made",,,"Burgdorf, Switzerland",Switzerland,Married,3,
92,Tractors,,,"Delhi, India",India,Widowed,5,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University"
35,"Snapchat, Self Made",8,1,"Venice, California",United States,Single,,"Bachelor of Arts/Science, Stanford University"
49,"Shopping centers, Self Made",,,"Marbella, Spain",Spain,Separated,3,
64,"Aerospace, Self Made",9,,"Reno, Nevada",United States,Married,2,"Master of Business Administration, University of Nevada at Reno"
70,"Hotels, investments",3,3,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Menlo College"
77,"Semiconductors, Self Made",,,"Shangyu, China",China,,,
59,Diversified,,,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Boston College"
77,"Steel production, Self Made",,,"Zhangjiagang, China",China,Married,2,
60,"Online games, investments, Self Made",,,"Shanghai, China",China,Divorced,1,"Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University"
63,"Real estate, Self Made",8,1,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
69,Diversified,,,"Manila, Philippines",Philippines,Married,2,"Bachelor of Science, De La Salle University"
71,"Diversified, Self Made",,,"Manila, Philippines",Philippines,Married,4,"Bachelor of Arts/Science, University of the East"
53,"Oil & gas, investments, Self Made",,,"Singapore, Singapore",India,Married,2,
64,"Investments, Self Made",9,,"Winnetka, Illinois",United States,Married,,
77,Real estate,4,1,"Palm Beach, Florida",United States,Married,5,"Fordham University; Bachelor of Arts/Science, University of Pennsylvania"
79,"Auto repair, Self Made",,,"Neustadt an der Waldnaab, Germany",Germany,Married,2,
74,"Retail, Self Made",8,,"Nanjing, China",United States,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Master of Business Administration, Southeastern Louisiana University"
69,"TV shows, Self Made",10,2,"Montecito, California",United States,In Relationship,,"Bachelor of Arts/Science, Tennessee State University"
88,"Bakery chain, Self Made",,,"Shenyang, China",China,Married,3,
66,"Cobalt, Self Made",,,Singapore,Taiwan,,,
45,"Retail, Self Made",,,"Guangzhou, China",China,,,"Associate in Arts/Science, Zhongnan University of Economics and Law"
51,"WhatsApp, Self Made",8,3,"Palo Alto, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University"
83,"Auto dealers, investments",,,"Dubai, United Arab Emirates",United Arab Emirates,Married,,
77,"Oil, investments",4,3,"Fort Worth, Texas",United States,Married,1,"Bachelor of Arts/Science, Yale University"
70,"Media, investments, Self Made",,,"Cape Town, South Africa",South Africa,Married,2,"Master of Business Administration, Columbia Business School; LLB, University of Witwatersrand"
45,Medical technology,,,"Melsungen, Germany",Germany,,,
75,"Herbal products, Self Made",,,"Los Angeles, California",Taiwan,Married,5,"Drop Out, Brigham Young University; Bachelor of Arts/Science, Kaohsiung Medical University"
86,Retail,,,"Sao Paulo, Brazil",Brazil,Married,6,"Bachelor of Arts/Science, Fundacao Getulio Vargas"
58,"Private equity, Self Made",,,"Zug, Switzerland",Switzerland,,,
92,"Gap, Self Made",7,2,"San Francisco, California",United States,Widowed,3,"Bachelor of Arts/Science, Stanford University"
79,"Banking, Self Made",9,2,"Dallas, Texas",United States,Married,6,"Bachelor of Arts/Science, Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University"
67,"Pharmaceuticals, Self Made",,,"Paris, France",France,,,
55,"Private equity, Self Made",,,"Zug, Switzerland",Switzerland,Married,5,"Master of Business Administration, Brigham Young University"
89,"Gambling, Self Made",,,"Espelkamp, Germany",Germany,Married,4,
62,"Real estate, Self Made",,,"North York, Canada",Canada,Single,,"Bachelor of Arts/Science, York University"
76,"Financial services, Self Made",,,"Bristol, United Kingdom",United Kingdom,Married,2,
79,"Pharmaceuticals, Self Made",,,"Taizhou, China",China,Married,,
68,Diversified,,,"Singapore, Singapore",Singapore,Married,,
78,Valve manufacturing,1,,"Fort Lauderdale, Florida",United States,Widowed,,
58,"Media, Self Made",,,"Chennai, India",India,Married,1,"Master of Business Administration, University of Scranton"
48,"Cryptocurrency, Self Made",9,,"Berkeley, California",United States,,,
65,"Aerospace, Self Made",,,"Reno, Nevada",United States,Married,,
,"Soy sauce, Self Made",,,"foshan, China",China,,,
59,"Commodities, Self Made",6,,"Zug, Switzerland",United States,Single,,"Bachelor of Arts/Science, Duke University"
63,"Hotels, investments",1,2,"Marin County, California",United States,Married,5,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, Tufts University"
61,"Real estate, Self Made",,,"Hangzhou, China",China,Married,1,"Master of Business Administration, Zhejiang University"
61,"Hand tools, Self Made",,,"Hangzhou, China",China,Married,,"Master of Science, Xi'an Jiaotong University"
69,Diversified,,,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai"
63,"Financial services, Self Made",,,"Zurich, Switzerland",Switzerland,,,
55,"Payments software, Self Made",,,"Amsterdam, Netherlands",Netherlands,Married,,
67,Diversified,,,"Manila, Philippines",Philippines,Married,4,"Bachelor of Science, De La Salle University"
66,Diversified,,,"Manila, Philippines",Philippines,Married,,"Bachelor of Business Administration, De La Salle University"
89,"Diversified, Self Made",,,"Manila, Philippines",Philippines,Married,6,"Bachelor of Arts/Science, Far Eastern University"
73,"Semiconductors, Self Made",,,"Hsinchu, Taiwan",Taiwan,Married,2,"Bachelor of Engineering, National Taiwan University; Master of Science in Engineering, University of Cincinnati"
84,Cable television,5,5,"Atlanta, Georgia",United States,Divorced,5,"Bachelor of Arts/Science, Brown University"
85,"Real estate, Self Made",10,1,"New York, New York",United States,Widowed,1,"Bachelor of Arts/Science, University of Virginia"
62,"Private equity, Self Made",,,"Zug, Switzerland",Switzerland,,,"Master of Business Administration, University of St. Gallen"
54,"Yahoo, Self Made",10,2,"Los Altos Hills, California",United States,Married,2,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
54,"Machinery, Self Made",,,"Wuxi, China",China,Married,1,
54,"Chemicals, Self Made",,,"Jiaxing, China",China,Married,,
86,"Real estate, media, Self Made",8,4,"New York, New York",United States,Divorced,2,"LLM, Harvard University; Bachelor of Arts/Science, McGill University; Master of Business Administration, University of Pennsylvania, The Wharton School"
63,"Hedge funds, Self Made",,,"London, United Kingdom",Ireland,,,
67,"Oil, investments",4,2,"Fort Worth, Texas",United States,Married,,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University"
43,"Sensor systems, Self Made",,,"San Francisco, California",United States,Married,2,"Bachelor of Science, Cornell University; Master of Science, Massachusetts Institute of Technology"
41,"Sensor systems, Self Made",,,"San Francisco, California",United States,Married,3,"Master of Science, Massachusetts Institute of Technology; Bachelor of Science, Stanford University"
73,"Columbia Sportswear, Self Made",5,1,"Portland, Oregon",United States,Married,2,"Bachelor of Arts/Science, University of Oregon"
92,"Semiconductors, Self Made",,,"Hsinchu, Taiwan",Taiwan,Married,1,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology; Ph.D, Stanford University"
78,"Real estate, Self Made",,,"Taipei, Taiwan",Taiwan,Married,3,
73,"Investments, Self Made",,,,Taiwan,Married,2,
53,"Flavorings, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,1,
69,"Software services, Self Made",,,"Bangalore, India",India,Married,2,"Master of Science, Bangalore University"
62,"Tires, diversified, Self Made",,,"Hattiesburg, Mississippi",United States,Married,2,
66,"Tires, diversified, Self Made",,,"Hattiesburg, Mississippi",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern Mississippi"
40,"Spotify, Self Made",,,"Stockholm, Sweden",Sweden,Married,2,
62,Gap,2,2,"San Francisco, California",United States,Married,4,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford Graduate School of Business"
61,Retail,,,"Berlin, Germany",Germany,Married,,
55,"Construction, Self Made",,,"Ankara, Turkey",Turkey,Married,3,
45,Private equity,,,"Chicago, Illinois",United States,Married,2,"Bachelor of Arts/Science, Michigan State University; Doctor of Jurisprudence, Vanderbilt University"
49,"Manufacturing, Self Made",,,"Weifang, China",China,,,"Master of Arts, Renmin University of China; Bachelor of Arts/Science, Tsinghua University; Ph.D, University of Maryland"
67,"Private equity, Self Made",8,3,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Virginia"
44,"Online retailing, Self Made",8,,"Seoul, South Korea",United States,Married,1,"Bachelor of Arts/Science, Harvard University"
,"Soy sauce, Self Made",,,"Foshan, China",China,,,
59,"Pharmaceuticals, Self Made",,,"Hong Kong, Hong Kong",China,,,"Bachelor of Arts/Science, Guangdong Medical College"
70,"Financial services, Self Made",,,"St. Peter Port, Guernsey",Guernsey,Married,2,
20,Drugstores,,,,Germany,,,
,"Restaurants, Self Made",,,"Chengdu, China",China,Married,,
45,"Financial services, Self Made",,,"Shenzhen, China",China,,,
72,Casinos,,,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"Harvard Business School; Bachelor of Arts/Science, University of London"
88,Consumer goods,,,"Mumbai, India",India,Married,2,"Master of Science in Engineering, Massachusetts Institute of Technology; Bachelor of Science in Engineering, University of Mumbai"
82,"Pet food, Self Made",7,4,"Brookville, Ohio",United States,Married,5,"Bachelor of Arts/Science, Ohio Northern University"
65,"Retail, Self Made",,,"Urumqi, China",China,Married,,
56,"Agriculture, land, Self Made",,,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Moscow Institute of Radioengineering, Electronics and Automation"
100,"Dole, real estate, Self Made",10,,"Ventura, California",United States,Widowed,3,"Drop Out, High School"
76,"Art collection, Self Made",,,"New York, New York",Monaco,Married,3,
69,"Investments, Self Made",,,"Manaus, Brazil",Brazil,Divorced,1,
,Candy,,,"Lugano, Switzerland",Italy,,,
,Candy,,,"Lugano, Switzerland",Italy,,,
69,Luxury goods,,,"Milan, Italy",Italy,,,
78,Luxury goods,,,"Milan, Italy",Italy,,,
56,Diversified,,,"Istanbul, Turkey",Turkey,Single,,
72,Liquor,4,1,"Delray Beach, Florida",United States,,,"Doctorate, University of North Carolina; Bachelor of Arts/Science, University of Vermont"
75,Investments,,,"Hurden, Switzerland",Switzerland,Married,2,"Doctorate, University of Zurich"
79,Medical devices,,,"Lugano, Switzerland",Switzerland,Married,3,"Master of Business Administration, SDA Bocconi School of Management; Bachelor of Science, University of Turin"
48,"Real estate, grains",,,"Delray Beach, Florida",United States,Divorced,22,"Drop Out, University of Rhode Island"
89,"Fashion retail, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,2,
69,"Measuring instruments, Self Made",,,"Hefei, China",China,Married,,
70,Finance,,,"Taipei, Taiwan",Taiwan,Married,1,"EMBA, National Taiwan University; Bachelor of Arts/Science, Tokai University"
62,"Computer networking, Self Made",6,,"Saratoga, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Science, Santa Clara University"
57,"Real estate, investments",,,"London, United Kingdom",Switzerland,Married,5,"Bachelor of Arts/Economics, University of Rhode Island"
78,"Real estate, Self Made",,,"Sydney, Australia",Australia,Married,3,"Diploma, High School"
74,"Tires, Self Made",,,"Zhaoyuan, China",China,Married,,
61,"Real estate, Self Made",,,"Shanghai, China",China,,,"Master of Business Administration, Macau University"
80,"Chicken processing, Self Made",,,"Rechterfeld, Germany",Germany,Married,4,
57,"Pearlescent pigments, Self Made",,,"Fuzhou, China",China,Married,,
58,"Construction, mining machinery, Self Made",,,"Hangzhou, China",China,,,
66,Dental materials,,,"Vaduz, Liechtenstein",Liechtenstein,Married,,
87,"Precision machinery, Self Made",,,"Ningbo, China",China,,,
86,"Real estate, investments, Self Made",9,3,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, Chapman University"
40,"Cryptocurrency, Self Made",8,,"San Francisco, California",United States,,,"Bachelor of Arts/Economics, Rice University; Master of Arts/Science, Rice University"
52,"Oil, mining, Self Made",,,"Moscow, Russia",Russia,Married,4,"Master of Laws, Irkutsk State University"
74,"Diversified, Self Made",,,"Ankara, Turkey",Turkey,Married,2,
57,"Business software, Self Made",8,1,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business"
63,"Retail, agribusiness, Self Made",,,"Paradise Island, Bahamas",Australia,Married,2,
86,Insurance,5,,"Ormond Beach, Florida",United States,Married,,"Bachelor of Arts/Science, University of Florida"
55,Investments,,,"Shanghai, China",China,Widowed,,"Bachelor of Arts/Science, Shanghai University of Finance and Economics"
71,"Pharmaceuticals, Self Made",,,"Weihai, China",China,,,
73,"Finance, Self Made",,,"Dublin, Ireland",Ireland,Married,4,
52,"Pharmaceuticals, Self Made",,,"Lianyungang, China",China,,,
62,"Fashion, Self Made",,,"Los Angeles, California",United States,Widowed,1,"Drop Out, New York University; Bachelor of Architecture, Parsons School of Design"
69,"Poultry, Self Made",,,"Nanping, China",China,Married,2,
62,"Hedge funds, Self Made",7,3,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Columbia University"
64,"Investments, Self Made",8,,"Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Dartmouth College"
67,"Pharmaceuticals, Self Made",8,,"Tianjin, China",United States,Married,,
78,Automotive,,,"Tel Aviv, Israel",Israel,,,
83,"SAP, Self Made",,,"Weinheim, Germany",Germany,Married,,"Master of Science, University of Saarland"
76,"Hospitals, Self Made",,,"Grebenhain, Germany",Germany,Married,2,
64,"Real estate, Self Made",,,"Shenzhen, China",Canada,,,
81,Finance,,,"Saint Petersburg, Florida",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Stetson University"
74,"Sunglasses, Self Made",9,,"San Juan Islands, Washington",United States,Married,4,"Drop Out, University of Southern California"
76,"Damaged cars, Self Made",,,"Franklin, Tennessee",United States,Married,2,
48,"Sports apparel, Self Made",,,"Quanzhou, China",China,Married,,"EMBA, China Europe International Business School"
63,"Cryptocurrency, Self Made",8,4,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Business Administration, Stanford Graduate School of Business"
78,"Retail, Self Made",,,"Melbourne, Australia",Australia,Married,3,
54,"Conglomerate, Self Made",,,"Singapore, Singapore",Singapore,Married,1,"Doctorate, Arizona State University; Master of Business Administration, Cheung Kong Graduate School of Business; Bachelor of Arts/Science, Fudan University"
68,Diversified,,,"Bangkok, Thailand",Thailand,Married,2,"Master of Business Administration, University of St Gallen"
43,"Software, Self Made",,,"San Francisco, California",Canada,,,"Master of Business Administration, Vanderbilt University"
61,"Investments, Self Made",,,"Miami, Florida",Cyprus,Married,2,"Bachelor of Arts/Science, Turkmen State University"
77,"Private equity, Self Made",8,,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
99,"Berkshire Hathaway, Self Made",,,"Los Angeles, California",United States,Widowed,8,"Doctor of Jurisprudence, Harvard University; Drop Out, University of Michigan"
44,"WeWork, Self Made",,,"Miami, Florida",Israel,Married,6,City University of New York Baruch
53,"Airlines, Self Made",,,"Ho Chi Minh City, Vietnam",Vietnam,Married,4,
71,"Beverages, Self Made",,,"Liuan, China",China,Married,,
60,"Manufacturing, investment",,,"Melbourne, Australia",Australia,Divorced,3,
52,"Software, Self Made",,,"Beijing, China",China,Married,,"Master of Business Administration, Beijing University of Science and Technology; Bachelor of Arts/Science, Changchun College of Posts and Telecommunications"
74,"Health IT, Self Made",8,4,"Boston, Massachusetts",United States,Married,,"Bachelor of Arts/Science, Massachusetts Institute of Technology"
91,"Healthcare, Self Made",,,"Chennai, India",India,Married,4,
87,"Sports teams, Self Made",,,"Chicago, Illinois",United States,Married,4,"Bachelor of Arts/Science, George Washington University; Law Degree, Northwestern University"
52,"Payroll processing, Self Made",9,2,"Edmond, Oklahoma",United States,Married,4,"Bachelor of Arts/Science, University of Central Oklahoma"
84,"Jewelry, Self Made",,,"Geneva, Switzerland",Switzerland,Married,2,
97,"Biotech, Self Made",8,,"El Cerrito, California",United States,Widowed,2,"Bachelor of Arts/Science, University of California, Berkeley"
43,"Software, Self Made",,,Canada,Canada,,,"Master of Business Administration, University of Toronto"
66,"Venture capital, Google, Self Made",10,2,"Menlo Park, California",United States,Married,2,"Bachelor of Arts/Science, University of Madras"
55,Real estate,,,"Aventura, Florida",United States,Married,,"Drop Out, University of Miami"
68,"Software, Self Made",8,1,"East Lyme, Connecticut",United States,Married,3,"Bachelor of Arts/Science, Marquette University"
66,"Hedge funds, Self Made",,,"New York, New York",United States,Married,4,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, SUNY Stony Brook"
64,Diversified,,,"Manila, Philippines",Philippines,Married,,"Bachelor of Science, De La Salle University"
72,Diversified,,,"Manila, Philippines",Philippines,Widowed,3,"Bachelor of Science, Assumption College"
78,"real estate, Self Made",,,"Tokyo, Japan",Japan,Married,3,
67,"Textiles, petrochemicals, Self Made",,,"Suzhou, China",China,Married,,
55,"Software, Self Made",,,"Shanghai, China",Hong Kong,,,"Ph.D, Massachusetts Institue of Technology; Master of Science, University of Rochester; Bachelor of Science, University of Science and Technology of China"
74,H&M,,,"Stockholm, Sweden",Sweden,Married,3,
46,Healthcare,,,"Abu Dhabi, United Arab Emirates",India,Married,4,
50,Business software,,,"Chennai, India",India,Married,1,"Bachelor of Arts/Economics, Indian Institute of Technology Madras (IIT Madras)"
66,"Sports apparel, Self Made",,,"Quanzhou, China",China,,,
79,"Budget airline, Self Made",,,"Shanghai, China",China,,,
65,Coca-Cola Israel,,,Israel,Israel,Married,6,
55,"Batteries, Self Made",,,"Ningde, China",China,,,"Ph.D, Shanghai Jiao Tong University"
55,"Agribusiness, Self Made",,,"Guangzhou, China",China,,,
59,"Electronics, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,,
57,"Package delivery, Self Made",,,"Shanghai, China",China,Married,,
58,"Investments, Self Made",,,"Los Altos, California",Israel,Married,2,
54,Steel,,,"Windsor, Canada",Canada,,,
57,"Batteries, Self Made",,,"Ningde, China",China,,,
56,"Mining, commodities, Self Made",,,"London, United Kingdom",United Kingdom,Married,,"Master of Science, Oxford University"
52,"Coffee, Self Made",,,"Grants Pass, Oregon",United States,,,"Bachelor of Arts/Science, Southern Oregon University"
,"Construction, media",,,"Paris, France",France,,,
72,"Construction, media",,,,France,,,
91,"Casinos, banking, Self Made",,,"Las Vegas, Nevada",United States,Divorced,3,
71,Consumer goods,,,"Delhi, India",India,Married,2,"Master of Science, University of Kansas; Ph.D, University of Kansas"
71,"Manufacturing, Self Made",,,"Hangzhou, China",China,,,
86,"Electronics, Self Made",,,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Cheng Kung University"
52,Software,,,"Beijing, China",China,,,
62,"Oil & gas, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,,,
82,"Hearing aids, Self Made",,,"Zurich, Switzerland",Switzerland,,,
65,"Luxury goods, Self Made",,,"Milan, Italy",Italy,Single,,
59,"Internet service provider, Self Made",,,"Montabaur, Germany",Germany,Married,1,
51,"Animal health, investments, Self Made",,,"London, United Kingdom",Bulgaria,,,
54,"Animal health, investments, Self Made",,,"London, United Kingdom",Bulgaria,Married,,
78,"Real estate, Self Made",,,"Surfers Paradise, Australia",Australia,Married,5,
65,"Oil refining, Self Made",,,"El Paso, Texas",United States,Married,2,"Bachelor of Arts/Science, Baylor University"
60,"Luxury goods, Self Made",,,"Milan, Italy",Italy,Single,,"Bachelor of Arts/Science, Istituto Superiore di Industrie Artistiche"
59,"Steel, Self Made",,,"Huzhou, China",China,,,
89,Getty Oil,2,3,"San Francisco, California",United States,Widowed,7,"Bachelor of Arts/Science, San Francisco Conservatory of Music"
65,"Space, energy, Self Made",,,"Naples, Florida",United States,Engaged,,"Bachelor of Science in Engineering, Catholic University of America; Master, George Washington University"
79,"Clinical trials, Self Made",,,"Durham, North Carolina",United Kingdom,,,
65,Diversified,,,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development"
62,Diversified,,,"Kolkata, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University"
68,Real estate,4,1,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Manhattanville College"
67,"Consumer goods, Self Made",,,"Oslo, Norway",Norway,Married,4,
57,"Real estate, investments",,,"Geneva, Switzerland",Lebanon,Married,,"Bachelor of Arts/Science, Boston University"
73,Supermarkets,,,"Valencia, Spain",Spain,Married,4,
81,Diversified,,,"Taipei, Taiwan",Taiwan,Married,3,"Bachelor of Arts/Science, Notre Dame University; Master of Arts, Notre Dame University"
50,"Machinery, Self Made",,,"Suzhou, China",China,,,
40,"Payment processing, Self Made",8,,"Easton, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, Embry-Riddle Aeronautical University"
57,"Software, Self Made",,,"Moscow, Russia",Russia,Married,5,"Master of Science, Institute of Cryptography, Telecommunications and Computer Science (FSB Academy)"
48,"Retail, Self Made",,,"Limassol, Cyprus",Russia,,,"Master of Science, Moscow State Mining University"
48,"Retail, Self Made",,,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute of Physics and Technology"
71,Real estate,,,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Engineering, Imperial College London; Master of Business Administration, London Business School"
,"Smartphone screens, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,,
62,"Hedge funds, Self Made",9,,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, Clark University; Doctor of Jurisprudence, New York Law School"
83,"Accounting services, Self Made",,,"Lyon, France",France,Married,1,
67,"Sports teams, Self Made",,,"Bethesda, Maryland",United States,Married,2,
83,Real estate,,,"Taipei, Taiwan",Taiwan,Widowed,4,
61,"Power supply equipment, Self Made",,,"Shenzhen, China",China,Married,,
50,"Retail, Self Made",,,"Paphos, Cyprus",Russia,Married,5,"Master of Science, Moscow State Mining University"
54,"Snack bars, Self Made",,,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Trinity University of San Antonio"
,"Internet search, Self Made",,,"Beijing, China",China,Married,,"Ph.D, Rutgers University; Bachelor of Arts/Science, University of Science and Technology of China"
68,Diversified,,,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
72,Footwear,,,"Mumbai, India",India,Married,5,
42,Investments,,,"Stockholm, Sweden",Sweden,Married,,
70,"Biopharmaceuticals, Self Made",,,"Bangalore, India",India,Widowed,,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University"
65,Auto parts,,,"Gurgaon, India",India,Married,2,
43,"E-commerce, Self Made",,,"Beijing, China",China,,,"Bachelor of Engineering, Tsinghua University; Master, Tsinghua University"
81,"Building materials, Self Made",,,"Kingscourt, Ireland",Ireland,Widowed,5,
60,"Metals, banking, fertilizers, Self Made",,,"Moscow, Russia",Russia,Married,5,"Bachelor of Arts/Science, Leningrad Technological Institute"
66,"Appliances, Self Made",,,"Suzhou, China",China,Married,,
76,"Construction, Self Made",,,"Madrid, Spain",Spain,Widowed,3,
62,"Steel pipes, diversified, Self Made",,,"Kiev, Ukraine",Ukraine,Married,4,"Doctorate, Dniepropetrovsk Metallurgical Institute"
41,"E-commerce, Self Made",,,Florida,United States,Married,,"Bachelor of Arts/Economics, Northwestern University"
42,"Education technology, Self Made",,,"Bangalore, India",India,Married,2,
65,"Infrastructure, Self Made",,,"Hyderabad, India",India,Married,2,
42,"Fast fashion, Self Made",,,"Los Angeles, California",United States,Single,,"Drop Out, California State University Northridge"
49,"Medical cosmetics, Self Made",,,"Beijing, China",China,,,"Master of Business Administration, Tsinghua University"
74,"Investments, Self Made",,,"Dubai, United Arab Emirates",Thailand,Divorced,3,"Master of Science, Eastern Kentucky University"
,"Restaurants, Self Made",,,"Singapore, Singapore",Singapore,Married,,
75,"Biotech, Self Made",8,1,"Chestnut Hill, Massachusetts",United States,Married,,"Ph.D, Harvard University; Bachelor of Science, University of California, Berkeley"
70,Two-wheelers,,,"Chennai, India",India,Married,2,"Bachelor of Engineering, Anna University, Chennai, India; Master of Business Administration, Purdue University"
68,"Dick's Sporting Goods, Self Made",,,"Sewickley, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, St. John Fisher College"
73,"Edible oil, Self Made",,,"Yantai, China",China,,,
55,"Real estate, Self Made",,,"Moscow, Russia",Russia,Married,5,"Master of Science, Moscow Institute of Electronic Technology"
57,"Pet food, Self Made",,,"Krefeld, Germany",Germany,Married,,
74,Food processing,3,1,"Fayetteville, Arkansas",United States,Widowed,,
50,"Greek yogurt, Self Made",,,"Norwich, New York",Turkey,Married,,"Master of Business Administration, SUNY Albany"
55,"Furniture retailing, Self Made",,,"Beijing, China",China,,,
70,"Food, beverages, Self Made",,,"Tianjin, China",Taiwan,Married,3,
66,"Food, beverages, Self Made",,,"Taipei, Taiwan",Taiwan,Married,4,
64,"Food, beverages, Self Made",,,"Shanghai, China",Taiwan,Married,2,
68,"Food, beverages, Self Made",,,"Taipei, Taiwan",Taiwan,Married,5,
81,"Casinos, hotels, Self Made",8,3,"Las Vegas, Nevada",United States,Divorced,2,"Bachelor of Arts/Science, George Washington University"
53,"Auto parts, Self Made",,,"Ningbo, China",China,,,
73,"Retail, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,3,
57,"Glass, Self Made",,,"Ningbo, China",China,,,
72,"Metal processing, Self Made",,,"Suzhou, China",China,,,
49,"Chemicals, Self Made",,,"Shanghai, China",Canada,,,
57,Pharmaceuticals,,,"Xi'an, China",Singapore,Married,,"Master of Business Administration, Fordham University"
